now_time is 2018-11-07 19-17-14, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-18-09, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-19-19, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-20-09, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-22-34, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-22-54, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-24-04, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-25-34, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-26-34, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-28-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-28-40, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-29-30, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-30-00, The Seconds_Behind_Master is 6
now_time is 2018-11-07 19-30-50, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-31-35, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-33-25, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-33-55, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-36-40, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-38-25, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-41-31, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-41-46, The Seconds_Behind_Master is 6
now_time is 2018-11-07 19-42-36, The Seconds_Behind_Master is 6
now_time is 2018-11-07 19-43-36, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-48-06, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-50-26, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-51-11, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-51-16, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-54-51, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-56-42, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-57-32, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-00-17, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-03-27, The Seconds_Behind_Master is 6
now_time is 2018-11-07 20-05-27, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-09-08, The Seconds_Behind_Master is 6
now_time is 2018-11-07 20-18-08, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-23-59, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-24-14, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-35-39, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-45-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-45-15, The Seconds_Behind_Master is 2
now_time is 2018-11-07 20-45-20, The Seconds_Behind_Master is 1
now_time is 2018-11-07 20-45-25, The Seconds_Behind_Master is 2
now_time is 2018-11-07 20-45-30, The Seconds_Behind_Master is 3
now_time is 2018-11-07 20-45-35, The Seconds_Behind_Master is 5
now_time is 2018-11-07 20-45-40, The Seconds_Behind_Master is 6
now_time is 2018-11-07 20-45-45, The Seconds_Behind_Master is 7
now_time is 2018-11-07 20-45-50, The Seconds_Behind_Master is 8
now_time is 2018-11-07 20-45-55, The Seconds_Behind_Master is 8
now_time is 2018-11-07 20-46-00, The Seconds_Behind_Master is 7
now_time is 2018-11-07 20-46-05, The Seconds_Behind_Master is 8
now_time is 2018-11-07 20-46-10, The Seconds_Behind_Master is 9
now_time is 2018-11-07 20-46-15, The Seconds_Behind_Master is 10
now_time is 2018-11-07 20-46-20, The Seconds_Behind_Master is 11
now_time is 2018-11-07 20-46-25, The Seconds_Behind_Master is 12
now_time is 2018-11-07 20-46-30, The Seconds_Behind_Master is 12
now_time is 2018-11-07 20-46-35, The Seconds_Behind_Master is 13
now_time is 2018-11-07 20-46-40, The Seconds_Behind_Master is 13
now_time is 2018-11-07 20-46-45, The Seconds_Behind_Master is 15
now_time is 2018-11-07 20-46-50, The Seconds_Behind_Master is 16
now_time is 2018-11-07 20-46-55, The Seconds_Behind_Master is 17
now_time is 2018-11-07 20-47-00, The Seconds_Behind_Master is 18
now_time is 2018-11-07 20-47-05, The Seconds_Behind_Master is 17
now_time is 2018-11-07 20-47-10, The Seconds_Behind_Master is 17
now_time is 2018-11-07 20-47-15, The Seconds_Behind_Master is 18
now_time is 2018-11-07 20-47-20, The Seconds_Behind_Master is 20
now_time is 2018-11-07 20-47-25, The Seconds_Behind_Master is 19
now_time is 2018-11-07 20-47-30, The Seconds_Behind_Master is 20
now_time is 2018-11-07 20-47-35, The Seconds_Behind_Master is 21
now_time is 2018-11-07 20-47-40, The Seconds_Behind_Master is 20
now_time is 2018-11-07 20-47-45, The Seconds_Behind_Master is 20
now_time is 2018-11-07 20-47-50, The Seconds_Behind_Master is 20
now_time is 2018-11-07 20-47-55, The Seconds_Behind_Master is 21
now_time is 2018-11-07 20-48-00, The Seconds_Behind_Master is 23
now_time is 2018-11-07 20-48-05, The Seconds_Behind_Master is 24
now_time is 2018-11-07 20-48-10, The Seconds_Behind_Master is 25
now_time is 2018-11-07 20-48-15, The Seconds_Behind_Master is 27
now_time is 2018-11-07 20-48-20, The Seconds_Behind_Master is 28
now_time is 2018-11-07 20-48-25, The Seconds_Behind_Master is 29
now_time is 2018-11-07 20-48-30, The Seconds_Behind_Master is 31
now_time is 2018-11-07 20-48-35, The Seconds_Behind_Master is 33
now_time is 2018-11-07 20-48-40, The Seconds_Behind_Master is 34
now_time is 2018-11-07 20-48-45, The Seconds_Behind_Master is 36
now_time is 2018-11-07 20-48-50, The Seconds_Behind_Master is 36
now_time is 2018-11-07 20-48-55, The Seconds_Behind_Master is 38
now_time is 2018-11-07 20-49-00, The Seconds_Behind_Master is 39
now_time is 2018-11-07 20-49-05, The Seconds_Behind_Master is 42
now_time is 2018-11-07 20-49-10, The Seconds_Behind_Master is 44
now_time is 2018-11-07 20-49-15, The Seconds_Behind_Master is 46
now_time is 2018-11-07 20-49-20, The Seconds_Behind_Master is 48
now_time is 2018-11-07 20-49-25, The Seconds_Behind_Master is 48
now_time is 2018-11-07 20-49-30, The Seconds_Behind_Master is 49
now_time is 2018-11-07 20-49-35, The Seconds_Behind_Master is 51
now_time is 2018-11-07 20-49-40, The Seconds_Behind_Master is 53
now_time is 2018-11-07 20-49-45, The Seconds_Behind_Master is 55
now_time is 2018-11-07 20-49-50, The Seconds_Behind_Master is 57
now_time is 2018-11-07 20-49-55, The Seconds_Behind_Master is 60
now_time is 2018-11-07 20-50-00, The Seconds_Behind_Master is 61
now_time is 2018-11-07 20-50-06, The Seconds_Behind_Master is 63
now_time is 2018-11-07 20-50-11, The Seconds_Behind_Master is 64
now_time is 2018-11-07 20-50-16, The Seconds_Behind_Master is 67
now_time is 2018-11-07 20-50-21, The Seconds_Behind_Master is 69
now_time is 2018-11-07 20-50-26, The Seconds_Behind_Master is 71
now_time is 2018-11-07 20-50-31, The Seconds_Behind_Master is 74
now_time is 2018-11-07 20-50-36, The Seconds_Behind_Master is 76
now_time is 2018-11-07 20-50-41, The Seconds_Behind_Master is 76
now_time is 2018-11-07 20-50-46, The Seconds_Behind_Master is 79
now_time is 2018-11-07 20-50-51, The Seconds_Behind_Master is 81
now_time is 2018-11-07 20-50-56, The Seconds_Behind_Master is 84
now_time is 2018-11-07 20-51-01, The Seconds_Behind_Master is 84
now_time is 2018-11-07 20-51-06, The Seconds_Behind_Master is 84
now_time is 2018-11-07 20-51-11, The Seconds_Behind_Master is 83
now_time is 2018-11-07 20-51-16, The Seconds_Behind_Master is 83
now_time is 2018-11-07 20-51-21, The Seconds_Behind_Master is 83
now_time is 2018-11-07 20-51-26, The Seconds_Behind_Master is 87
now_time is 2018-11-07 20-51-31, The Seconds_Behind_Master is 92
now_time is 2018-11-07 20-51-36, The Seconds_Behind_Master is 97
now_time is 2018-11-07 20-51-41, The Seconds_Behind_Master is 97
now_time is 2018-11-07 20-51-46, The Seconds_Behind_Master is 107
now_time is 2018-11-07 20-51-51, The Seconds_Behind_Master is 112
now_time is 2018-11-07 20-51-56, The Seconds_Behind_Master is 104
now_time is 2018-11-07 20-52-01, The Seconds_Behind_Master is 103
now_time is 2018-11-07 20-52-06, The Seconds_Behind_Master is 103
now_time is 2018-11-07 20-52-11, The Seconds_Behind_Master is 102
now_time is 2018-11-07 20-52-16, The Seconds_Behind_Master is 100
now_time is 2018-11-07 20-52-21, The Seconds_Behind_Master is 99
now_time is 2018-11-07 20-52-26, The Seconds_Behind_Master is 94
now_time is 2018-11-07 20-52-31, The Seconds_Behind_Master is 91
now_time is 2018-11-07 20-52-36, The Seconds_Behind_Master is 87
now_time is 2018-11-07 20-52-41, The Seconds_Behind_Master is 86
now_time is 2018-11-07 20-52-46, The Seconds_Behind_Master is 85
now_time is 2018-11-07 20-52-51, The Seconds_Behind_Master is 86
now_time is 2018-11-07 20-52-56, The Seconds_Behind_Master is 86
now_time is 2018-11-07 20-53-01, The Seconds_Behind_Master is 88
now_time is 2018-11-07 20-53-06, The Seconds_Behind_Master is 91
now_time is 2018-11-07 20-53-11, The Seconds_Behind_Master is 93
now_time is 2018-11-07 20-53-16, The Seconds_Behind_Master is 96
now_time is 2018-11-07 20-53-21, The Seconds_Behind_Master is 99
now_time is 2018-11-07 20-53-26, The Seconds_Behind_Master is 103
now_time is 2018-11-07 20-53-31, The Seconds_Behind_Master is 93
now_time is 2018-11-07 20-53-36, The Seconds_Behind_Master is 89
now_time is 2018-11-07 20-53-41, The Seconds_Behind_Master is 94
now_time is 2018-11-07 20-53-46, The Seconds_Behind_Master is 99
now_time is 2018-11-07 20-53-51, The Seconds_Behind_Master is 104
now_time is 2018-11-07 20-53-56, The Seconds_Behind_Master is 109
